metric: gmean, units: ms
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| name of test                             | BASELINE  | AVX512_SKX  |  AVX2   | AVX512_SKX vs BASELINE  | AVX2 vs BASELINE  |
| bitwise_xor::256    q::1 q::1 -> q::1    |  0.0001   |   0.0000    | 0.0001  |          1.99           |        1.3        |
| bitwise_xor::4096   q::1 q::1 -> q::1    |  0.0018   |   0.0011    | 0.0014  |          1.63           |       1.28        |
| bitwise_xor::16384  q::1 q::1 -> q::1    |  0.0071   |   0.0047    | 0.0056  |          1.53           |       1.28        |
| conjugate::256    B::1 -> B::1           |  0.0000   |   0.0000    | 0.0000  |          0.37           |       0.58        |
| conjugate::4096   B::1 -> B::1           |  0.0002   |   0.0001    | 0.0001  |          1.96           |       1.44        |
| conjugate::16384  B::1 -> B::1           |  0.0006   |   0.0003    | 0.0004  |           2.1           |       1.65        |
| conjugate::256    H::1 -> H::1           |  0.0000   |   0.0000    | 0.0000  |          0.83           |        1.6        |
| conjugate::4096   H::1 -> H::1           |  0.0003   |   0.0001    | 0.0002  |          2.11           |       1.78        |
| conjugate::16384  H::1 -> H::1           |  0.0012   |   0.0008    | 0.0009  |          1.47           |       1.31        |
| conjugate::256    I::1 -> I::1           |  0.0000   |   0.0000    | 0.0000  |          2.43           |       1.22        |
| conjugate::4096   I::1 -> I::1           |  0.0005   |   0.0003    | 0.0004  |          1.83           |       1.38        |
| conjugate::16384  I::1 -> I::1           |  0.0022   |   0.0017    | 0.0019  |          1.32           |       1.18        |
| conjugate::256    L::1 -> L::1           |  0.0001   |   0.0000    | 0.0000  |          2.69           |       1.96        |
| conjugate::4096   L::1 -> L::1           |  0.0012   |   0.0008    | 0.0009  |          1.46           |       1.31        |
| conjugate::16384  L::1 -> L::1           |  0.0048   |   0.0033    | 0.0037  |          1.46           |        1.3        |
| conjugate::256    Q::1 -> Q::1           |  0.0001   |   0.0000    | 0.0000  |          2.92           |       1.95        |
| conjugate::4096   Q::1 -> Q::1           |  0.0012   |   0.0008    | 0.0015  |          1.48           |       0.82        |
| conjugate::16384  Q::1 -> Q::1           |  0.0048   |   0.0033    | 0.0037  |          1.46           |        1.3        |
| conjugate::256    b::1 -> b::1           |  0.0000   |   0.0000    | 0.0000  |          0.43           |       0.58        |
| conjugate::4096   b::1 -> b::1           |  0.0002   |   0.0001    | 0.0001  |          2.01           |       1.55        |
| conjugate::16384  b::1 -> b::1           |  0.0006   |   0.0003    | 0.0004  |          2.14           |       1.58        |
| conjugate::256    h::1 -> h::1           |  0.0000   |   0.0000    | 0.0000  |          1.29           |        0.8        |
| conjugate::4096   h::1 -> h::1           |  0.0002   |   0.0001    | 0.0002  |          1.41           |       1.23        |
| conjugate::16384  h::1 -> h::1           |  0.0010   |   0.0008    | 0.0009  |          1.18           |       1.04        |
| conjugate::256    i::1 -> i::1           |  0.0000   |   0.0000    | 0.0000  |           1.4           |       1.03        |
| conjugate::4096   i::1 -> i::1           |  0.0004   |   0.0003    | 0.0004  |           1.5           |       1.12        |
| conjugate::16384  i::1 -> i::1           |  0.0019   |   0.0014    | 0.0019  |          1.39           |       1.01        |
| conjugate::256    l::1 -> l::1           |  0.0001   |   0.0000    | 0.0000  |          2.36           |       1.29        |
| conjugate::4096   l::1 -> l::1           |  0.0010   |   0.0008    | 0.0009  |          1.19           |       1.05        |
| conjugate::16384  l::1 -> l::1           |  0.0039   |   0.0033    | 0.0037  |          1.19           |       1.05        |
| conjugate::256    q::1 -> q::1           |  0.0001   |   0.0000    | 0.0000  |          2.37           |       1.29        |
| conjugate::4096   q::1 -> q::1           |  0.0010   |   0.0008    | 0.0009  |          1.19           |       1.05        |
| conjugate::16384  q::1 -> q::1           |  0.0039   |   0.0033    | 0.0037  |          1.18           |       1.05        |
| equal::256    B::1 B::1 -> ?::1          |  0.0000   |   0.0001    | 0.0000  |           0.4           |       0.51        |
| equal::4096   B::1 B::1 -> ?::1          |  0.0002   |   0.0001    | 0.0002  |          1.61           |        1.1        |
| equal::16384  B::1 B::1 -> ?::1          |  0.0007   |   0.0005    | 0.0006  |          1.33           |       1.26        |
| equal::256    H::1 H::1 -> ?::1          |  0.0000   |   0.0001    | 0.0000  |          0.46           |        1.1        |
| equal::4096   H::1 H::1 -> ?::1          |  0.0003   |   0.0002    | 0.0003  |          1.42           |       1.05        |
| equal::16384  H::1 H::1 -> ?::1          |  0.0013   |   0.0008    | 0.0011  |          1.59           |       1.19        |
| equal::256    I::1 I::1 -> ?::1          |  0.0001   |   0.0000    | 0.0001  |          2.25           |       1.12        |
| equal::4096   I::1 I::1 -> ?::1          |  0.0009   |   0.0004    | 0.0005  |          2.42           |       1.71        |
| equal::16384  I::1 I::1 -> ?::1          |  0.0035   |   0.0015    | 0.0022  |          2.31           |       1.61        |
| equal::256    L::1 L::1 -> ?::1          |  0.0002   |   0.0001    | 0.0001  |          2.06           |       1.75        |
| equal::4096   L::1 L::1 -> ?::1          |  0.0025   |   0.0007    | 0.0011  |          3.48           |       2.21        |
| equal::16384  L::1 L::1 -> ?::1          |  0.0097   |   0.0027    | 0.0045  |          3.66           |       2.18        |
| equal::256    Q::1 Q::1 -> ?::1          |  0.0002   |   0.0000    | 0.0001  |          4.58           |       1.92        |
| equal::4096   Q::1 Q::1 -> ?::1          |  0.0024   |   0.0007    | 0.0011  |          3.38           |       2.15        |
| equal::16384  Q::1 Q::1 -> ?::1          |  0.0098   |   0.0027    | 0.0045  |          3.67           |       2.17        |
| equal::256    b::1 b::1 -> ?::1          |  0.0000   |   0.0001    | 0.0000  |          0.37           |       0.56        |
| equal::4096   b::1 b::1 -> ?::1          |  0.0002   |   0.0001    | 0.0001  |          1.76           |       1.14        |
| equal::16384  b::1 b::1 -> ?::1          |  0.0007   |   0.0005    | 0.0006  |           1.3           |       1.25        |
| equal::256    h::1 h::1 -> ?::1          |  0.0000   |   0.0000    | 0.0000  |          1.47           |       0.64        |
| equal::4096   h::1 h::1 -> ?::1          |  0.0003   |   0.0002    | 0.0002  |          1.43           |       1.17        |
| equal::16384  h::1 h::1 -> ?::1          |  0.0013   |   0.0008    | 0.0012  |          1.66           |       1.16        |
| equal::256    i::1 i::1 -> ?::1          |  0.0001   |   0.0000    | 0.0001  |          2.26           |       1.12        |
| equal::4096   i::1 i::1 -> ?::1          |  0.0009   |   0.0004    | 0.0005  |          2.41           |        1.7        |
| equal::16384  i::1 i::1 -> ?::1          |  0.0034   |   0.0012    | 0.0021  |           2.7           |       1.57        |
| equal::256    l::1 l::1 -> ?::1          |  0.0002   |   0.0001    | 0.0001  |          2.32           |       2.16        |
| equal::4096   l::1 l::1 -> ?::1          |  0.0025   |   0.0007    | 0.0011  |          3.59           |       2.16        |
| equal::16384  l::1 l::1 -> ?::1          |  0.0097   |   0.0027    | 0.0044  |          3.61           |       2.21        |
| equal::256    q::1 q::1 -> ?::1          |  0.0002   |   0.0001    | 0.0001  |          2.31           |       2.22        |
| equal::4096   q::1 q::1 -> ?::1          |  0.0025   |   0.0007    | 0.0011  |          3.43           |       2.17        |
| equal::16384  q::1 q::1 -> ?::1          |  0.0097   |   0.0027    | 0.0045  |          3.59           |       2.19        |
| greater::256    B::1 B::1 -> ?::1        |  0.0000   |   0.0001    | 0.0000  |           0.4           |       0.55        |
| greater::4096   B::1 B::1 -> ?::1        |  0.0002   |   0.0001    | 0.0002  |          1.33           |       1.16        |
| greater::16384  B::1 B::1 -> ?::1        |  0.0008   |   0.0006    | 0.0006  |          1.41           |       1.31        |
| greater::256    H::1 H::1 -> ?::1        |  0.0000   |   0.0001    | 0.0000  |          0.51           |       1.19        |
| greater::4096   H::1 H::1 -> ?::1        |  0.0003   |   0.0002    | 0.0003  |          1.76           |       1.24        |
| greater::16384  H::1 H::1 -> ?::1        |  0.0014   |   0.0009    | 0.0012  |          1.66           |       1.16        |
| greater::256    I::1 I::1 -> ?::1        |  0.0001   |   0.0000    | 0.0001  |          2.27           |       1.16        |
| greater::4096   I::1 I::1 -> ?::1        |  0.0010   |   0.0004    | 0.0006  |          2.62           |       1.66        |
| greater::16384  I::1 I::1 -> ?::1        |  0.0042   |   0.0016    | 0.0025  |           2.6           |       1.71        |
| greater::256    L::1 L::1 -> ?::1        |  0.0002   |   0.0001    | 0.0001  |          2.19           |       1.49        |
| greater::4096   L::1 L::1 -> ?::1        |  0.0025   |   0.0008    | 0.0014  |          3.32           |       1.74        |
| greater::16384  L::1 L::1 -> ?::1        |  0.0101   |   0.0027    | 0.0057  |          3.66           |       1.76        |
| greater::256    Q::1 Q::1 -> ?::1        |  0.0002   |   0.0000    | 0.0001  |          4.14           |       1.58        |
| greater::4096   Q::1 Q::1 -> ?::1        |  0.0025   |   0.0007    | 0.0015  |          3.37           |        1.7        |
| greater::16384  Q::1 Q::1 -> ?::1        |  0.0103   |   0.0028    | 0.0058  |          3.73           |       1.79        |
| greater::256    b::1 b::1 -> ?::1        |  0.0000   |   0.0001    | 0.0000  |          0.41           |       0.66        |
| greater::4096   b::1 b::1 -> ?::1        |  0.0002   |   0.0001    | 0.0001  |          2.71           |       1.64        |
